"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
5400000,2724,11089,3,3,57,"630 Hightree Rd","Santa Monica",90402,"August-4-2022"
3430000,2900,5711,4,3.5,85,"10365 Rossbury Pl","Los Angeles",90064,"June-13-2022"
2263700,2295,11687,4,3,64,"3224 S Bentley Ave","Los Angeles",90034,"July-22-2022"
3175000,2424,7564,4,3.5,74,"3309 Purdue Ave","Los Angeles",90066,"July-28-2022"
1100000,982,4222,2,1,82,"2617 Granville Ave","Los Angeles",90064,"July-21-2022"
2850000,2432,4991,4,3,81,"2807 Granville Ave","Los Angeles",90064,"April-29-2022"
1250000,1557,6000,3,2,60,"2554 Amherst Ave","Los Angeles",90064,"March-17-2022"
1650000,1704,5522,3,1.5,73,"3816 Berryman Ave","Los Angeles",90066,"July-19-2022"
1500000,1123,5504,3,2,75,"11947 Charnock Rd","Los Angeles",90066,"July-12-2022"
1850000,1237,6549,2,2,74,"3175 Mountain View Ave","Los Angeles",90066,"July-18-2022"
2925000,1988,7201,3,2.5,74,"3164 Federal Ave","Los Angeles",90066,"July-14-2022"
1275000,1129,7484,3,1.5,72,"3204 Colonial Ave","Los Angeles",90066,"July-26-2022"
1800000,1315,4902,3,2,73,"3488 Rosewood Ave","Los Angeles",90066,"June-22-2022"
1358000,1379,5894,3,2,82,"3025 Midvale Ave","Los Angeles",90034,"July-11-2022"
1573000,948,4185,2,1,76,"831 Commonwealth Ave","Venice",90291,"August-5-2022"
2606000,2105,4514,5,4,88,"2125 21st St","Santa Monica",90405,"July-29-2022"
3335000,2133,6000,4,4.5,100,"12303 Dorothy St","Los Angeles",90049,"June-24-2022"
1400000,1111,5710,2,2,81,"3586 S Bentley Ave","Los Angeles",90034,"July-7-2022"
1835000,2368,7559,4,3,75,"3661 S Bentley Ave","Los Angeles",90034,"June-17-2022"
2200000,2118,4916,4,3,1,"10832 Lawler St","Los Angeles",90034,"August-9-2022"
1950000,1515,7638,4,2,74,"11850 N Park Ave","Los Angeles",90066,"June-14-2022"
1470000,1407,6250,3,2,73,"3956 Albright Ave","Culver City",90066,"June-15-2022"
2795000,2395,5496,4,3,80,"4182 Commonwealth Ave","Culver City",90232,"July-27-2022"
3305520,2987,5617,4,4,4,"3726 Colonial Ave","Mar Vista",90066,"April-26-2022"
3035000,2222,6759,3,2.5,74,"2334 26th St","Santa Monica",90405,"March-11-2022"
2602000,1634,6000,3,2.5,87,"2830 Pearl St","Santa Monica",90405,"May-26-2022"
2350000,1752,6045,3,2.5,69,"3259 Rosewood Ave","Los Angeles",90066,"May-17-2022"
1800000,1116,5919,3,2,76,"11930 Woodbine St","Los Angeles",90066,"March-29-2022"
3750000,2217,7510,4,3,98,"447 16th St","Santa Monica",90402,"July-27-2022"
3175000,2318,16210,3,2,63,"1714 Westridge Rd","Los Angeles",90049,"July-22-2022"
1300000,1373,6856,2,2,78,"2558 Westwood Blvd","Los Angeles",90064,""
1815000,1657,6315,3,3,75,"2695 Greenfield Ave","Los Angeles",90064,"June-17-2022"
1550000,1673,6192,3,3,74,"2654 Veteran Ave","Los Angeles",90064,"July-11-2022"
