"Team","G","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Cleveland Cavaliers",82,3255,6940,953,2686,2302,4254,1376,1810,837,2786,3623,2064,580,343,1181,1433,8839,"2021-2022"
"New York Knicks",82,3088,7069,1082,3029,2006,4040,1473,1980,941,2841,3782,1793,570,399,1087,1672,8731,"2021-2022"
"Portland Trail Blazers",82,3161,7144,1043,3017,2118,4127,1346,1771,854,2661,3515,1880,657,366,1187,1728,8711,"2021-2022"
"Detroit Pistons",82,3129,7267,925,2838,2204,4429,1413,1806,900,2625,3525,1924,630,393,1163,1799,8596,"2021-2022"
"Orlando Magic",82,3139,7240,999,3022,2140,4218,1270,1614,746,2885,3631,1947,555,367,1188,1612,8547,"2021-2022"
"Oklahoma City Thunder",82,3141,7310,991,3066,2150,4244,1233,1632,854,2887,3741,1822,622,380,1145,1497,8506,"2021-2022"
"Sacramento Kings*",82,3573,7232,1128,3060,2445,4172,1624,2055,782,2699,3481,2237,574,275,1106,1616,9898,"2022-2023"
"Golden State Warriors*",82,3538,7393,1363,3540,2175,3853,1314,1655,864,2793,3657,2446,588,323,1336,1757,9753,"2022-2023"
"Atlanta Hawks*",82,3658,7574,882,2505,2776,5069,1513,1850,920,2719,3639,2049,580,401,1060,1541,9711,"2022-2023"
"Boston Celtics*",82,3460,7278,1315,3492,2145,3786,1436,1769,796,2921,3717,2186,521,430,1095,1542,9671,"2022-2023"
"Oklahoma City Thunder",82,3533,7590,995,2797,2538,4793,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633,"2022-2023"
"Los Angeles Lakers*",82,3516,7298,885,2558,2631,4740,1691,2182,818,2930,3748,2072,526,378,1154,1466,9608,"2022-2023"
"Utah Jazz",82,3485,7365,1094,3099,2391,4266,1536,1955,968,2794,3762,2129,500,429,1259,1679,9600,"2022-2023"
"Milwaukee Bucks*",82,3504,7411,1217,3306,2287,4105,1364,1837,914,3074,3988,2115,521,403,1199,1481,9589,"2022-2023"
"Memphis Grizzlies*",82,3585,7551,985,2807,2600,4744,1432,1954,988,2835,3823,2135,680,473,1116,1643,9587,"2022-2023"
"Indiana Pacers",82,3444,7345,1112,3030,2332,4315,1535,1944,832,2575,3407,2213,631,478,1225,1741,9535,"2022-2023"
"New York Knicks*",82,3444,7328,1037,2930,2407,4398,1589,2087,1031,2790,3821,1880,527,340,1065,1666,9514,"2022-2023"
"Denver Nuggets*",82,3574,7088,969,2559,2605,4529,1378,1834,828,2699,3527,2368,618,368,1192,1525,9495,"2022-2023"
"Minnesota Timberwolves*",82,3515,7167,997,2731,2518,4436,1467,1942,749,2686,3435,2145,657,444,1258,1768,9494,"2022-2023"
"Philadelphia 76ers*",82,3347,6870,1035,2675,2312,4195,1719,2058,715,2641,3356,2063,635,389,1121,1675,9448,"2022-2023"
"New Orleans Pelicans",82,3447,7180,899,2468,2548,4712,1585,2000,866,2717,3583,2122,681,337,1196,1678,9378,"2022-2023"
"Dallas Mavericks",82,3283,6909,1246,3362,2037,3547,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366,"2022-2023"
"Phoenix Suns*",82,3453,7388,1001,2674,2452,4714,1412,1781,971,2657,3628,2235,585,432,1110,1739,9319,"2022-2023"
"Los Angeles Clippers*",82,3370,7059,1041,2735,2329,4324,1533,1962,803,2742,3545,1959,580,364,1167,1598,9314,"2022-2023"
"Portland Trail Blazers",82,3317,7001,1056,2893,2261,4108,1609,2021,774,2551,3325,1981,553,376,1185,1643,9299,"2022-2023"
"Brooklyn Nets*",82,3399,6978,1048,2771,2351,4207,1449,1811,674,2648,3322,2093,585,506,1127,1730,9295,"2022-2023"
"Washington Wizards",82,3456,7127,925,2601,2531,4526,1442,1838,774,2804,3578,2083,561,424,1158,1539,9279,"2022-2023"
"Chicago Bulls",82,3488,7116,854,2367,2634,4749,1446,1788,694,2779,3473,2006,644,371,1097,1551,9276,"2022-2023"
"San Antonio Spurs",82,3533,7593,911,2640,2622,4953,1292,1739,965,2619,3584,2232,572,322,1253,1630,9269,"2022-2023"
"Toronto Raptors",82,3434,7489,880,2626,2554,4863,1506,1922,1043,2485,3528,1961,772,424,956,1641,9254,"2022-2023"
"Cleveland Cavaliers*",82,3408,6984,950,2589,2458,4395,1439,1844,795,2574,3369,2045,586,384,1094,1560,9205,"2022-2023"
"Orlando Magic",82,3323,7074,883,2551,2440,4523,1607,2050,833,2713,3546,1906,603,382,1236,1652,9136,"2022-2023"
"Charlotte Hornets",82,3385,7413,881,2669,2504,4744,1447,1933,901,2751,3652,2062,634,425,1164,1661,9098,"2022-2023"
"Houston Rockets",82,3329,7287,856,2619,2473,4668,1567,2078,1100,2695,3795,1835,600,374,1332,1679,9081,"2022-2023"
"Detroit Pistons",82,3244,7140,934,2659,2310,4481,1623,2106,916,2564,3480,1884,574,308,1237,1813,9045,"2022-2023"
"Miami Heat*",82,3215,6991,980,2852,2235,4139,1567,1885,796,2533,3329,1955,655,243,1106,1516,8977,"2022-2023"
"Indiana Pacers*",82,3855,7599,1082,2891,2773,4708,1318,1685,827,2578,3405,2522,631,481,1059,1756,10110,"2023-2024"
"Boston Celtics*",82,3601,7396,1351,3482,2250,3914,1334,1654,876,2923,3799,2207,557,538,979,1326,9887,"2023-2024"
"Oklahoma City Thunder*",82,3653,7324,1090,2805,2563,4519,1451,1759,722,2725,3447,2223,694,538,1039,1545,9847,"2023-2024"
"Milwaukee Bucks*",82,3538,7258,1163,3122,2375,4136,1517,1960,772,2850,3622,2176,558,413,1059,1574,9756,"2023-2024"
"Atlanta Hawks",82,3529,7584,1125,3092,2404,4492,1520,1906,1024,2639,3663,2180,615,369,1110,1522,9703,"2023-2024"
"Los Angeles Lakers*",82,3580,7177,969,2572,2611,4605,1550,1983,676,2859,3535,2340,605,453,1146,1283,9679,"2023-2024"
"Dallas Mavericks*",82,3535,7352,1197,3242,2338,4110,1397,1842,797,2724,3521,2106,563,406,1027,1500,9664,"2023-2024"
"Golden State Warriors",82,3582,7515,1211,3191,2371,4324,1282,1644,996,2834,3830,2402,572,377,1174,1598,9657,"2023-2024"
"Sacramento Kings",82,3553,7455,1178,3219,2375,4236,1274,1710,888,2719,3607,2324,625,342,1078,1632,9558,"2023-2024"
"Phoenix Suns*",82,3482,7063,1020,2671,2462,4392,1548,1915,831,2783,3614,2218,610,492,1221,1475,9532,"2023-2024"
"Utah Jazz",82,3443,7371,1060,2993,2383,4378,1538,1853,1002,2725,3727,2232,537,458,1285,1523,9484,"2023-2024"
"Los Angeles Clippers*",82,3473,7108,1036,2719,2437,4389,1499,1817,822,2701,3523,2097,640,413,1078,1519,9481,"2023-2024"
"New Orleans Pelicans*",82,3484,7165,1023,2673,2461,4492,1445,1873,852,2753,3605,2210,684,378,1067,1508,9436,"2023-2024"
