Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Dean Wade,28,CLE,PF,271,222,49,30,51,198,249,76,42,20,22,101,320,6623456
Shake Milton,28,2TM,SG,254,106,148,59,31,73,104,102,25,4,40,67,315,3000000
Dereck Lively II,20,DAL,C,191,0,191,73,104,166,270,85,20,56,41,100,314,5253360
Nicolas Batum,36,LAC,PF,238,203,35,21,47,171,218,84,52,36,34,111,313,5601600
Neemias Queta,25,BOS,C,203,3,200,61,89,147,236,45,18,42,40,106,310,2349578
Marcus Smart,30,2TM,PG,257,141,116,71,18,54,72,109,39,9,54,53,305,26720855
Andre Drummond,31,PHI,C,234,20,214,90,109,201,310,34,39,18,55,94,293,5000000
Kris Murray,24,POR,SF,279,120,159,57,76,106,182,68,35,17,43,66,287,3132000
Landry Shamet,27,NYK,SG,230,156,74,18,11,50,61,27,23,2,22,52,286,2296274
Josh Okogie,26,2TM,SG,212,92,120,85,45,68,113,33,48,18,31,47,283,2296274
Drew Eubanks,27,2TM,C,194,6,188,71,60,166,226,54,12,39,41,63,280,2296274
Jaylin Williams,22,OKC,PF,221,153,68,30,48,214,262,120,22,29,35,79,278,8450704
Brandon Williams,25,DAL,PG,188,60,128,66,12,46,58,76,24,5,39,33,275,2270735
Vasilije Micić,31,2TM,PG,273,125,148,41,20,69,89,128,15,0,77,45,269,8109150
Lonzo Ball,27,CHI,PG,243,195,48,27,25,93,118,115,47,17,41,55,267,10000000
Jett Howard,21,ORL,SF,262,186,76,23,20,50,70,44,13,11,36,68,267,5529720
Eric Gordon,36,PHI,SG,204,137,67,48,8,38,46,65,26,12,28,32,266,2296274
Lindy Waters III,27,2TM,SG,249,186,63,11,20,90,110,52,27,11,20,62,256,2296274
Oso Ighodaro,22,PHO,PF,187,2,185,50,66,156,222,71,28,29,39,102,255,1955377
Pelle Larsson,23,MIA,SG,203,95,108,61,28,64,92,65,32,7,24,91,251,1955377
Malaki Branham,21,SAS,SG,190,84,106,33,7,44,51,38,11,2,34,29,235,4962033
